Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Bothrops atrox,Bothrops,atrox,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,0,2.1,1.5,0,8.09,0,0,14.19,0,0,0,0,0,0,0,0.3,0.3,1.4,0,0,0,0.9,1.2,54.54,0,12.19,0,3.3,0,-0.009999999999990905
Bothrops ayerbei,Bothrops,ayerbei,Viperidae,Colombia,https://www.ncbi.nlm.nih.gov/pubmed/24231109,0,0,1.1,0,0,9.3,0,0,3.3,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0,53.7,2.3,10.1,0,0.7,8.3,10.400000000000006
Bothrops barnetti,Bothrops,barnetti,Viperidae,Peru,https://www.ncbi.nlm.nih.gov/pubmed/22300577,0,0,3.1,0,0,6.7,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1,5.5,3.3,0,6.4,0,0.10000000000000853
Bothrops caribbaeus,Bothrops,caribbaeus,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18785768,0,0.2,2.6,0,0,4.7,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6,1.5,0,0,12.8,0,1.2000000000000028
Bothrops colombiensis,Bothrops,colombiensis,Viperidae,Venezuela,https://www.ncbi.nlm.nih.gov/pubmed/19457355,0,0.5,0.1,0,0,1,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,5.59,0,0,44.26,0.8,1.4210854715202004e-14
Bothrops cotiara,Bothrops,cotiara,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/18760386,0,0.5,3.6,0,0,14.4,0,0,3.8,1.65,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,73.1,1.2,0.1,0,0,0,1.4210854715202004e-14
Bothrops cotiara,Bothrops,cotiara,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,0,2.9,2.5,0,13,0,0,19.6,0,0,0,0,0,0,0,0.7,0.7,0.1,0,0,0,0.7,3.2,51,0,4.7,0,0.6,0,0.29999999999999716
Bothrops diporus,Bothrops,diporus,Viperidae,Argentina,https://www.ncbi.nlm.nih.gov/pubmed/26712790,2.6,1.4,1.2,0.3,0,7.2,0,0,7.4,0,0,0,0,0,0,0,0,0,1.6,0,1.1,0,0.1,0,34.2,0,2.9,0,24.1,15.9,-1.4210854715202004e-14
Bothrops erythromelas,Bothrops,erythromelas,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/25462430,0,1.4,0,0.5,0,7.19,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,38.76,5.29,17.18,0,15.08,11.39,0.010000000000005116
Bothrops erythromelas,Bothrops,erythromelas,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/25462430,0,1.1,0,0.1,0,4,0,0,0,1.5,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,42.95,3.6,21.58,0,13.79,10.99,-0.010000000000005116
