Snake,genus,species,Reference,Note,SVMPi (Snake Venom Metalloproteinase inhibitor),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),PLB (Phospholipase B),Cro-toxin,SP (Serine roteinase),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Ohanin,Cystatin,Crotamine,NGF (Nerve Growth Factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),QC (Glutaminyl Cyclase),beta-BTx (beta-bungarotoxin),ECTONT (ecto-59-nucleotidase),Unknown peptides,Unknown/Undetermined,SVMP,disintegrin,lectins,neurotoxins,PLA2
Echis carinatus sochureki*,Echis,carinatus,https://www.ncbi.nlm.nih.gov/pubmed/19948012,Sharjah,0,0,1.99,0,0,0,4.58,0,0,0,1.19,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,56.57,7.7,16.53,0,7.97
Echis coloratus*,Echis,coloratus*,https://www.ncbi.nlm.nih.gov/pubmed/19948012,Egypt,0,0,5.69,0,0,0,3.58,0,0,0,3.91,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,61.41,5.8,9.45,0,5.7
Echis ocellatus,Echis,ocellatus,https://www.ncbi.nlm.nih.gov/pubmed/19026773,Nigeria,0.47,1.58,1.4,0,0,0,1.86,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.47,12.66,6.52,0,11.73
Echis ocellatus*,Echis,ocellatus*,https://www.ncbi.nlm.nih.gov/pubmed/19948012,Nigeria,0,0,0.34,0,0,0,1.71,0,0,0,1.36,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,72.43,0,6.46,0,8.5
Echis pyramidium leakeyi*,Echis,pyramidium,https://www.ncbi.nlm.nih.gov/pubmed/19948012,Kenya,0,0,0,0,0,0,1.42,0,0,0,2.83,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,48.94,0,24.26,0,21.57
Gloydius brevicaudus,Gloydius,brevicaudus,https://www.ncbi.nlm.nih.gov/pubmed/24487038,Chinese adult,0,0,1.1,0,0,0,3.7,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,64.4,4.6,0.2,0,25
Gloydius brevicaudus,Gloydius,brevicaudus,https://www.ncbi.nlm.nih.gov/pubmed/24487038,Neonate,0,0,2.5,0,0,0,4.5,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.7,7.4,4.8,0,13.4
Hydrophis cyanocinctus,Hydrophis,cyanocinctus,https://www.ncbi.nlm.nih.gov/pubmed/22643073,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.1,18.9
Hydrophis platurus,Hydrophis,platurus,https://www.ncbi.nlm.nih.gov/pubmed/24704853,Costa Rica,0,0,9.1,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,1.4,0.9,0,0,0,32.9
Hydrophis schistosus,Hydrophis,schistosus,https://www.ncbi.nlm.nih.gov/pubmed/26047715,Malaysia,0,0,1.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,70.5,27.5
Lachesis acrochorda,Lachesis,acrochorda,https://www.ncbi.nlm.nih.gov/pubmed/22982523,Colombia,0,0,0.9,0,0,0,35.06,0,0,0,9.59,21.48,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.17,0,6.89,0,2.3
Lachesis melanocephala,Lachesis,melanocephala,https://www.ncbi.nlm.nih.gov/pubmed/22982523,Costa Rica,0,0,0,0,0,0,21,0,0,0,3.6,30.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,18.9,0,7.5,0,13.4
Lachesis muta muta,Lachesis,muta,https://www.ncbi.nlm.nih.gov/pubmed/18541473,Bolivia,0,0,1.8,0,0,0,31.2,0,0,0,2.7,14.7,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,31.9,0,7.9,0,8.7
Lachesis muta rhombeata,Lachesis,muta,https://www.ncbi.nlm.nih.gov/pubmed/23747394,Brazil,0,0,1.4,0,0,0,26.5,0,0,0,0.5,0,28,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,2.7,0,10.8
Lachesis stenophrys,Lachesis,stenophrys,https://www.ncbi.nlm.nih.gov/pubmed/22982523,Costa Rican adult,0,0,0,0,0,0,37,0,0,0,2.65,32.88,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,16.49
Lachesis stenophrys,Lachesis,stenophrys,https://www.ncbi.nlm.nih.gov/pubmed/22982523,Costa Rican adult,0,0,0,0,0,0,21.2,0,0,0,2.7,27.1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,30.6,0,3.6,0,14.1
Lachesis stenophrys,Lachesis,stenophrys,https://www.ncbi.nlm.nih.gov/pubmed/22982523,Costa Rican neonate,0,0,0,0,0,0,43.8,0,0,0,0.6,37.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4.8,0,0,0,11.4
Laticauda colubrina,Laticauda,colubrina,https://www.ncbi.nlm.nih.gov/pubmed/28688916,Indonesia,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,65.81,33.26
Macrovipera lebetina,Macrovipera,lebetina,https://www.ncbi.nlm.nih.gov/pubmed/16206329,Tunisia,0,0.99,0,0,0,0,8.91,0,0,0,0,0,0,0,1.98,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.34,6.930000000000001,9.9,0,3.96
Macrovipera lebetina,Macrovipera,lebetina,https://www.ncbi.nlm.nih.gov/pubmed/22387317,Tunisia,0,0.9,0,0,0,0,5.5,3.1,0,0,0,0,0,0,3.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1,15.1,3.2,0,5
Macrovipera lebetina obtusa,Macrovipera,lebetina,https://www.ncbi.nlm.nih.gov/pubmed/18590992,Armenia,0,1.67,2.56,0,0,0,14.67,0,0,0,1.67,0,2.61,2.56,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59,11.129999999999999,14.57,0,14.37
Macrovipera lebetina transmediterranea,Macrovipera,lebetina,https://www.ncbi.nlm.nih.gov/pubmed/18590992,Armenia,0,0.99,0,0,0,0,8.91,0,0,0,0,0,0,0.5,1.98,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.34,6.930000000000001,9.9,0,3.96
Macrovipera mauritanica,Macrovipera,mauritanica,https://www.ncbi.nlm.nih.gov/pubmed/22387317,Morocco,0,1.1,0,0,0,0,8.3,2.5,0,0,0,0,0,0,10.8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,13.8,8.1,0,5.5
Micropechis ikaheka,Micropechis,ikaheka,https://www.ncbi.nlm.nih.gov/pubmed/25109465,New Guinea,0,0.3,1.8,9.18,0,0,0.1,0.7,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,7.29,0,0,0,79.84
Micrurus alleni,Micrurus,alleni,https://www.ncbi.nlm.nih.gov/pubmed/26325292,Costa Rica,0,0,0,77.3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,3.9,0.6,1.2,0,1.8,0,10.9
Micrurus altirostris,Micrurus,altirostris,https://www.ncbi.nlm.nih.gov/pubmed/21515432,Brazil,0,0,0.1,79.5,0,0,0,2.1,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,13.7
Micrurus clarki,Micrurus,clarki,https://www.ncbi.nlm.nih.gov/pubmed/27164141,Costa Rica,0,0,0,48.2,0.2,0,1,0.9,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,4.1,1.6,0,1.1,0,36.5
Micrurus corallinus,Micrurus,corallinus,https://www.ncbi.nlm.nih.gov/pubmed/21515432,Brazil,0,0,0,81.7,0,0,0.8,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.9,0,11.9
Micrurus dumerilii,Micrurus,dumerilii,https://www.ncbi.nlm.nih.gov/pubmed/26883873,Colombia,0,0,0,28.1,0.1,0,1.9,9,0,0,3.1,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.2,1.8,0,1.1,0,52
Micrurus fulvius*,Micrurus,fulvius*,https://www.ncbi.nlm.nih.gov/pubmed/23915248,Florida,0,0,0,25.1,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,2.9,0,0,0,64.9
Micrurus mipartitus,Micrurus,mipartitus,https://www.ncbi.nlm.nih.gov/pubmed/21963438,Costa Rica,0,0,0,82.83,0,0,0,1.9,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,3.59,0,0,0,8.18
Micrurus mipartitus,Micrurus,mipartitus,https://www.ncbi.nlm.nih.gov/pubmed/21963438,Columbia,0,0,0,61.1,0,0,1.3,1.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.1,0,29
Micrurus mosquitensis,Micrurus,mosquitensis,https://www.ncbi.nlm.nih.gov/pubmed/26325292,Costa Rica,0,0,0,22.5,0,0,0.5,9.8,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0.2,0,0,0,1.3,1.8,2.6,0,1.3,0,55.6
Micrurus nigrocinctus,Micrurus,nigrocinctus,https://www.ncbi.nlm.nih.gov/pubmed/21280576,Costa Rica,0,0,0,38,0,0,0.7,0,0,0,2.3,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0.5,0,0,0,0,0.2,4.3,0,2.2,0,48
Micrurus tschudii,Micrurus,tschudii,https://www.ncbi.nlm.nih.gov/pubmed/27338473,Peru,0,0,0,93.7,0,0,0,1.57,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04
Naja atra,Naja,atra,https://www.ncbi.nlm.nih.gov/pubmed/26924299,China,0,0,1.8,84.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1.42e-14,1.6,0,0,0,12.2
Naja atra,Naja,atra,https://www.ncbi.nlm.nih.gov/pubmed/26196238,Taiwan,0,0,2.16,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,59.4,0,0,0,0,0,1.08,0,0,0.38,0,0,0,0,0,0.72,0,0,20.54,13.95
Naja haje legionis,Naja,haje,https://www.ncbi.nlm.nih.gov/pubmed/24269350,Marocco,0,0,10,60,0,0,0,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,8,9,0,0,0,4
Naja kaouthia,Naja,kaouthia,https://www.ncbi.nlm.nih.gov/pubmed/25748141,Thailand,0,0,0.8,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,2.99,44.72,0,0,0,0,0,1.29,0.4,0,0.2,0,0,0,0,0.4,1.59,0,0,28.38,17.33
Naja kaouthia,Naja,kaouthia,https://www.ncbi.nlm.nih.gov/pubmed/25748141,Vietnam,0,0,2.3,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0.8,27.57,0,0,0,0,0,0.5,0.3,0,0.2,0,0,0,0,0.1,2.6,0,0.4,49.85,12.19
Naja kaouthia,Naja,kaouthia,https://www.ncbi.nlm.nih.gov/pubmed/25748141,Thailand,0,0,4.3,0,0,0,0,0.5,0,0,1.1,0,0,0,0,0,0.8,45.7,0,0,0,0,0,0.2,0.4,0,0.3,0,0,0,0,1.2,3.3,0,0.2,17.2,23.5
Naja kaouthia,Naja,kaouthia,https://www.ncbi.nlm.nih.gov/pubmed/25771242,Malaysia,0,0,1.7,0,0,0,0,0,0,0,0.4,0,0,0,0,1.1,0,24.3,0,0,0.6,0,0,0.3,0.4,0,0,0,0,0,0,0.8,2.4,0,0.5,53.2,13.5
Naja kaouthia,Naja,kaouthia,https://www.ncbi.nlm.nih.gov/pubmed/28263888,China,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,27.87,0,0,9.19,0,0,1,0,0,0,0,0,0,0,0,1.1,0,0,28.18,26.87
Naja katiensis,Naja,katiensis,https://www.ncbi.nlm.nih.gov/pubmed/21171584,Burkina faso,0,0,0.2,67.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,3.3,0,0,0,28.97
Naja melanoleuca,Naja,melanoleuca,https://www.ncbi.nlm.nih.gov/pubmed/27593527,Uganda,0,0,7.6,57.1,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.4,1.1,0,0,0,0,0,0,1.2,9.7,0,0.6,0,12.9
Naja mossambica,Naja,mossambica,https://www.ncbi.nlm.nih.gov/pubmed/21171584,Tanzania,0,0,0,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,2.6,0,0,0,27.1
Naja naja,Naja,naja,https://www.ncbi.nlm.nih.gov/pubmed/28062377,Sri Lanka,0,0,0,80.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0.07,0.85,0,0,0,13.95
Naja naja,Naja,naja,https://www.ncbi.nlm.nih.gov/pubmed/26506536,North-west India,0,0,0,74.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0.19,0.86,0,0,0,21.43
Naja naja,Naja,naja,https://www.ncbi.nlm.nih.gov/pubmed/26506536,East India,0,0,2.1,63.8,0,0,0.3,0.4,0,0,0.8,0,0,0,0,2,0,0,0,0,0,0,0,0.9,2.1,6.3,0.4,0,0,0,0,0.1,1,0,0,0,11.4
Naja nigricollis,Naja,nigricollis,https://www.ncbi.nlm.nih.gov/pubmed/21171584,Nigeria,0,0,0.2,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2.4,0,0,0,21.9
Naja nubiae,Naja,nubiae,https://www.ncbi.nlm.nih.gov/pubmed/21171584,North Africa,0,0,0,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.6,0,0,0,26.4
Naja pallida,Naja,pallida,https://www.ncbi.nlm.nih.gov/pubmed/21171584,Kenya,0,0,0,67.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.6,0,0,0,30.07
Naja sputatrix,Naja,sputatrix,https://www.ncbi.nlm.nih.gov/pubmed/28159706,Java Island,0,0,0,0,0.02,0,0.42,0.24,0,0,0.08,0,0,0,0,0,5.51,48.08,0,0,0,0,0,1.82,0.08,0.04,0.1,0,0,0,0,0,1.33,0,0,10.629999999999999,31.24
Notechis scutatus,Notechis,scutatus,https://www.ncbi.nlm.nih.gov/pubmed/27282922,Australia,0,0,0.4,0,0,0,6.9,4.8,0,0,2,0,0,0,0,5.9,0,0,0,0,0,0,0,1.4,0,1.4,1.4,0,0,0,0,5.8,0,0,0,0,69.69999999999999
Ophiophagus hannah,Ophiophagus,hannah,https://www.ncbi.nlm.nih.gov/pubmed/25896403,Indonesia,0,0,6.48,0,0,0,0,3.29,0,0,0.5,0,0,0,0,0.2,4.69,17.65,0,0,1.1,0.1,0,0,0,0,0,0,0,0,0,0,11.86,0,0,50.65,2.79
Oxyuranus scutellatus canni,Oxyuranus,scutellatus,https://www.ncbi.nlm.nih.gov/pubmed/22266484,Papua New Guinea,0,0,0.8,4.19,0,0,0,12.97,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0.6,0,68.16
Oxyuranus scutellatus scutellatus,Oxyuranus,scutellatus,https://www.ncbi.nlm.nih.gov/pubmed/22266484,Australia,0,0,0.6,1.5,0,0,0.6,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,5.2,0,0,0,79.4
Pelamis platura,Pelamis,platura,https://www.ncbi.nlm.nih.gov/pubmed/24704853,Costa Rican Golfo de Papagayo,0,0,9.1,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.4,0,0.9,0,0,0,32.9
Porthidium lansbergii lansbergii,Porthidium,lansbergii,https://www.ncbi.nlm.nih.gov/pubmed/25496801,Colombia,0,0,1.4,0,0.7,0,4.5,0,0,0,3.6,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0,0,0,12.4,3.2,35.5,12.9,6.7,0,16.2
Porthidium nasutum,Porthidium,nasutum,https://www.ncbi.nlm.nih.gov/pubmed/22212456,Costa rica,0,0,1.3,0,0,0,9.6,0,0,0,3,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,52.1,9.9,10.4,0,11.6
Porthidium ophryomegas,Porthidium,ophryomegas,https://www.ncbi.nlm.nih.gov/pubmed/22212456,Costa rica,0,0,0.6,0,0,0,7.3,0,0,0,3.3,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,45,16.7,8,0,13.5
Protobothrops flavoviridis*,Protobothrops,flavoviridis*,https://www.ncbi.nlm.nih.gov/pubmed/26315097,Japan,0,0,2,0,0,0,11.8,0,0,0,3.1,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,17.3,0,0.9,0,55.5
Protobothrops mucrosquamatus,Protobothrops,mucrosquamatus,https://www.ncbi.nlm.nih.gov/pubmed/22906718,Taiwan,3.3,0,0.8,0,0,0,10.4,0,0,0,2,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,43.400000000000006,0.8,3.9,0,23.5
Pseudechis australis,Pseudechis,australis,https://www.ncbi.nlm.nih.gov/pubmed/21417486,Pooled,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,53,0,0,0,18.5
Pseudechis papuanus,Pseudechis,papuanus,https://www.ncbi.nlm.nih.gov/pubmed/27650695,Saibai Island,0,0,2.3,3.1,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,90.2
Sistrurus catenatus catenatus,Sistrurus,catenatus,https://www.ncbi.nlm.nih.gov/pubmed/16944921,Ohio,0,0.1,0.8,0,0,0,18.18,0,0,0,4.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,43.76,2.5,0.1,0,29.87
Sistrurus catenatus edwardsii,Sistrurus,catenatus,https://www.ncbi.nlm.nih.gov/pubmed/16944921,Colorado,0,0.1,10.56,0,0,0,24.09,0.1,0,0,2.47,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,47.98,0.89,0.1,0,13.52
Sistrurus catenatus tergeminus,Sistrurus,catenatus,https://www.ncbi.nlm.nih.gov/pubmed/16944921,Kansas,0,0.1,1.3,0,0,0,20.38,0,0,0,1.6,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,40.56,4.2,0.1,0,31.57
Sistrurus miliarius barbouri,Sistrurus,miliarius,https://www.ncbi.nlm.nih.gov/pubmed/16944921,Forida,0,1.3,2.9,0,0,0,17.08,0.1,0,0,2.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,36.06,7.69,0.1,0,32.47
Toxicocalamus longissimus,Toxicocalamus,longissimus,https://www.ncbi.nlm.nih.gov/pubmed/22643073,Woodlark island,0,0,0,92.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,6.5
Trimeresurus stejnegeri,Trimeresurus,stejnegeri,https://www.ncbi.nlm.nih.gov/pubmed/22906718,Taiwan,2.85,0,5.51,0,0,0,10.11,0,0,0,3.03,0,1.1,0,0.83,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.61,2.02,1.38,0,22.52
Vipera berus berus,Vipera,berus,https://www.ncbi.nlm.nih.gov/pubmed/27327134,Croatia,4,0,8,0,0,0,31,0.07,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,19,1,2,0,10
Vipera kaznakovi,Vipera,kaznakovi,https://www.ncbi.nlm.nih.gov/pubmed/27077884,Russia,0,0,10,0,0.32,0,11,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0.14,0,0,0.21,0,0,0,0.49,0.13,16,0.53,12,0,41
Vipera nikolskii,Vipera,nikolskii,https://www.ncbi.nlm.nih.gov/pubmed/27077884,Russia,0,0,0.66,0,0.12,0,18.92,0.66,0,0,0.08,0,0.01,0,7.97,0,0,0,0,0,0,0,0,0.33,0,0,0.88,0,0,0,0.17,0,0.66,0,3.98,0,64.74
Vipera orlovi,Vipera,orlovi,https://www.ncbi.nlm.nih.gov/pubmed/27077884,Russia,0,0,12,0,0.52,0,24,0.15,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0.25,0,0,2,0,0,0,0.95,0.26,15,0.56,11,0,24
Vipera raddei,Vipera,raddei,https://www.ncbi.nlm.nih.gov/pubmed/18590992,Armenia,0,0.1,7.39,0,0,0,8.39,0.9,0,0,0.2,0,3,0,2.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.560000000000002,9.69,9.59,0,23.78
Vipera renardii,Vipera,renardii,https://www.ncbi.nlm.nih.gov/pubmed/27077884,Russia,0,0,8,0,0.54,0,8,0.79,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0.12,0,0,0.47,0,0,0,2,0.69,12,13,3,0,44
