Snake,genus,species,Reference,Note,SVMPi (Snake Venom Metalloproteinase inhibitor),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),PLB (Phospholipase B),Cro-toxin,SP (Serine roteinase),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Ohanin,Cystatin,Crotamine,NGF (Nerve Growth Factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),QC (Glutaminyl Cyclase),beta-BTx (beta-bungarotoxin),ECTONT (ecto-59-nucleotidase),Unknown peptides,Unknown/Undetermined,SVMP,disintegrin,lectins,neurotoxins,PLA2
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Idyllwild 3,0.1,0,0,0,0,0,0,0,0,11.86,2.89,0,3.54,0,0,0,0,0,0,0,0,0,51.39,0,0,0,0,0,0,0,0,0.1,0,2.58,0,0,27.54
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Idyllwild 2,0,0,0,0,0,0,0,0,0,16.25,3.8,0,1.66,0,0,0,0,0,0,0,0,0,60.99,0,0,0,0,0,0,0,0,0.2,0,0.15,0,0,16.95
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Phelan 3,18.2,0,4.68,0,0,0,0,0,0,25.26,8.7,0,5.89,0,0,0,0,0,0,0,0,0,31.58,0,0,0,0,0,0,0,0,0.35,0,1.17,0.85,0,3.32
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Loma Linda 2,33.36,0,2.39,0,0,0,0,0,0,18.51,7.52,0,9.63,0,0,0,0,0,0,0,0,0,23.48,0,0,0,0,0,0,0,0,0.91,0,1.26,0,0,2.94
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Catalina Island 2,14.88,0,18.49,0,0,0,0,0,0,13.95,7.11,0,9.22,0,0,0,0,0,0,0,0,0,22.84,0.15,0,0,0,0,0,0,0,1.13,0,0,9.5,0,2.73
Crotalus oreganus helleri,Crotalus,oreganus,https://www.ncbi.nlm.nih.gov/pubmed/24463169,Catalina Island 3,29.09,0,13.87,0,0,0,0,0,0,9.23,0,0,8.9,0,0,0,0,0,0,0,0,0,16.69,0.44,0,0,0,0,0,0,0,1.34,0,0,15.01,0,5.43
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-101),0,0,0,0,0,0,24.5,0,0,0,1.1,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,57.67,0,0.1,0,11.06
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (F-303),0,0,0,0,0,0,36.13,0,0,0,0.1,3.89,0,0,0,0,0,0,0,46.91,0,0,0,0,0,0,0,0,0,0,2.4,0,0.1,0,0,0,10.48
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (F-307),0,0,0.1,0,0,0,41.52,0,0,0,0.1,3.19,0,0,0,0,0,0,0,45.21,0,0,0,0,0,0,0,0,0,0,2.89,0,0.1,0,0,0,6.89
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-105),0,0,0,0,0,0,37.52,0,0,0,0.1,2.89,0,0,0,0,0,0,29.54,17.66,0,0,0,0,0,0,0,0,0,0,3.29,0,0.1,0,0,0,8.88
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-104),0,0,0,0,0,0,28.84,0,0,0,1.3,3.39,0,0,0,0,0,0,34.03,17.27,0,0,0,0,0,0,0,0,0,0,2.3,0,0.1,0,0,0,12.77
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-106),0,0,0.3,0,0,0,28.07,0,0,0,1.2,5.09,0,0,0,0,0,0,24.38,27.67,0,0,0,0,0,0,0,0,0,0,2.9,0,0.1,0,0,0,10.29
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-203),0,0,0,0,0,0,32.07,0,0,0,0.8,1.7,0,0,0,0,0,0,19.18,35.66,0,0,0,0,0,0,0,0,0,0,2.9,0,0.1,0,0,0,7.59
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-301),0,0,0.1,0,0,0,29.77,0,0,0,1.1,4.4,0,0,0,0,0,0,0,53.25,0,0,0,0,0,0,0,0,0,0,2.2,0,0.3,0,0,0,8.89
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-103),0,0,0,0,0,0,21.88,0,0,0,1.3,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,59.14,0,0.2,0,12.09
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-202),0,0,0,0,0,0,30.87,0,0,0,1.4,1.9,0,0,0,0,0,0,12.49,39.66,0,0,0,0,0,0,0,0,0,0,2.8,0,0.1,0,0,0,10.79
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (E-204),0,0,0.3,0,0,0,30.1,0,0,0,0.7,2.2,0,0,0,0,0,0,23.9,27.6,0,0,0,0,0,0,0,0,0,0,3.3,0,1.1,0,0,0,10.8
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-108),0,0,0,0,0,0,23.8,0,0,0,1.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,54.6,0,0.2,0,15.2
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (B-110),0,0,0,0,0,0,22.2,0,0,0,2.1,5.7,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,1.8,0,48.2,0,0.2,0,14.3
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (C-107),0,0,0.1,0,0,0,18.9,0,0,0,1.5,4.7,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0.8,0,52.699999999999996,0,0.1,0,13.6
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (D-201),0,0,0,0,0,0,19.3,0,0,0,1.5,3.8,0,0,0,0,0,0,18.1,34.2,0,0,0,0,0,0,0,0,0,0,2.1,0,3.4,0,0,0,17.6
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-302),0,0,0.3,0,0,0,40.2,0,0,0,0.7,4.6,0,0,0,0,0,0,0,35.9,0,0,0,0,0,0,0,0,0,0,2.6,0,0.1,0,0,0,15.6
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-304),0,0,0.2,0,0,0,33.5,0,0,0,0.1,3.8,0,0,0,0,0,0,0,51.4,0,0,0,0,0,0,0,0,0,0,2.2,0,0.1,0,0,0,8.7
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (F-306),0,0,0.1,0,0,0,41.5,0,0,0,0.1,3.9,0,0,0,0,0,0,0,43.9,0,0,0,0,0,0,0,0,0,0,2.8,0,0.1,0,0,0,7.6
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (D-109),0,0,0,0,0,0,9.6,0,0,0,1.2,4.1,0,0,0,0,0,0,26.2,21.2,0,0,0,0,0,0,0,0,0,0,1.6,0.2,19.4,0,0,0,16.5
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,New Mexico (F-305),0,0,0.1,0,0,0,41.1,0,0,0,0.1,3.5,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0,2.8,0.8,0.1,0,0,0,7.4
Crotalus scutulatus scutulatus,Crotalus,scutulatus,https://www.ncbi.nlm.nih.gov/pubmed/22446891,Arizona (A-102),0,0,0,0,0,0,23.9,0,0,0,1.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,54.6,0,0.1,0,13.8
Crotalus simus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Costa Rican adult,0,0,0,0,0,52.7,36,0,0,0,0,0,1.3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.1,0,0,3.2
Crotalus simus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/19863078,Costa Rican neonate (6-week-old),0,0,0,0,0,4.1,5.3,0,0,0,3.8,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,8.1,0,0,3.5
Crotalus simus culminatus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/23727490,Mexico,0,0,3.5,0,0,0,15.9,0,0,0,4.7,11.6,0,0,0,0,0,0,0,0,0,0,3.3,1,0,0,0,0,0,0,0,3.5,48.5,3.8,0.8,0,3.4
Crotalus simus culminatus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/28731347,Mexican adult,7.89,0,5.59,0,0,0,16.48,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0.1,0,0,0,0,0,45.85,2.7,0,0,3.8
Crotalus simus culminatus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/28731347,Mexican neonate,6.58,0,3.69,0,0,0,13.06,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,41.480000000000004,1.69,0.1,0,13.46
Crotalus simus simus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/23727490,Mexico,0,0,1,0,0,14.3,30.4,0,0,0,5.7,6.5,0,0,0,0,0,0,0,0,0,0,0,1.1,0.5,0,0,0,0,0,0,2.9,27.4,1.5,0.6,0,8.1
Crotalus simus simus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/28731347,Mexican adult,6.6,0,3.9,0,0,16.8,23.7,0,0,0,3.5,0,0,2.1,1,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,1.2,31.8,4.3,0.1,0,3.9
Crotalus simus simus,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/28731347,Mexican neonate,1.68,0,10.96,0,0,25.86,32.28,0,0,0,1.97,0,5.53,1.18,3.55,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,5.23,0,0,0,9.97
Crotalus simus tzabcan,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/28731347,Mexican adult,6.3,0,0,0,0,3,15.4,0,0,0,1.95,0,0,2.6,0,0,0,0,0,0,0,0,18.5,0,0.6,0,0,0.3,0,0,0,1.45,31.8,5.1,10.4,0,2.6
Crotalus simus tzabcan,Crotalus,simus,https://www.ncbi.nlm.nih.gov/pubmed/28731347,Mexican neonate,2.31,0,0,0,0,0.18,18.31,0,0,0,4.25,0,0,4.9,0.18,0,0,0,0,0,0,0,35.05,0.74,8.88,0,0.13,0,0,0,0,0,6.66,0,4.9,0,13.5
Crotalus tigris,Crotalus,tigris,https://www.ncbi.nlm.nih.gov/pubmed/22181673,Origin unknown,0,0,1.9,0,0,0,26.75,0,0,0,0,0,0,0,4.99,0,0,0,0,66.07,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0
Crotalus viridis viridis,Crotalus,viridis,https://www.ncbi.nlm.nih.gov/pubmed/25819372,Colorado (adult female),8.18,0,4.65,0,0.11,0,19.88,0,0,0,11.46,0,10.78,0,0,0,0,0,5.49,0,0.21,0,0,0,0,0,0,0.11,0,0,0,0,20.97,0.7,1.81,0,15.67
Crotalus viridis viridis,Crotalus,viridis,https://www.ncbi.nlm.nih.gov/pubmed/25819372,Colorado (neonate female),0.1,0,2.12,0,0.12,0,26.72,0,0,0,2.84,0,6.46,0,0,0,0,0,35.45,0,0.62,0,0,0,0,0,0,0.26,0,0,0,0,11.33,0.14,3.32,0,10.520000000000001
Crotalus viridis viridis,Crotalus,viridis,https://www.ncbi.nlm.nih.gov/pubmed/25819372,Colorado (neonate male),4.51,0,4.01,0,0.19,0,18.2,0,0,0,7.56,0,6.41,0,0,0,0,0,25.16,0,0,0,0,0,0,0,0,0.83,0,0,0,0,14.2,0.76,7.27,0,10.9
Crotalus viridis viridis,Crotalus,viridis,https://www.ncbi.nlm.nih.gov/pubmed/25819372,Colorado (adult male),0,0,3.88,0,0,0,26.82,0,0,0,0,0,8.23,0,0,0,0,0,38.07,0,0.52,0,0,0,0,0,0,0.12,0,0,0,1.87,10.92,0.13,1.75,0,7.69
Daboia russelii,Daboia,russelii,https://www.ncbi.nlm.nih.gov/pubmed/26342672,Sri Lanka,0,0,2,0,0.1,0,16,4.6,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.3,0,3,0,0,0,0,0,6.9,0,22.4,0,35
Daboia russelii,Daboia,russelii,https://www.ncbi.nlm.nih.gov/pubmed/27936776,West India,0,0,6.79,0,0.1,0,7.99,12.49,0,0,0.3,0,0,0,1.8,0,0,0,0,0,0,0,0,4.8,1.4,0,0.4,0,0,0,0,0,24.78,4.9,1.8,0,32.47
Daboia russelii russelii,Daboia,russelii,https://www.ncbi.nlm.nih.gov/pubmed/27265321,Pakistan,0,0,2.6,0,0,0,3.2,28.4,0,0,0.6,0,0,0,1.5,0,0,0,0,0,0,0,0,0.4,0.6,0,0.6,0,0,0,0.2,0.1,21.8,0.4,6.4,0,32.8
Dendroaspis angusticeps,Dendroaspis,angusticeps,https://www.ncbi.nlm.nih.gov/pubmed/26877184,Tanzania,0,0,2,69.2,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4.7,6.7,0,0,0,0
Dendroaspis polylepis,Dendroaspis,polylepis,https://www.ncbi.nlm.nih.gov/pubmed/25688917,Kenya,0,0,0,31,0,0,0,61.1,0,0,0,0,0,0,0.1,2.9,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,3.2,0,0,0,0.1
Drysdalia coronoides,Drysdalia,coronoides,https://www.ncbi.nlm.nih.gov/pubmed/26169672,Adult,0,0,2.8,86.4,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0
