Snakenames,Note,Snake,Number,Common names,Family,Country,Region,Snake genus,"Venom, mg (snakedatabase.org)",SVMP (Snake venom MetalloProteinase),PI-SVMP (Snake venom MetalloProteinase),PII-SVMP,PIII-SVMP (Snake venom MetalloProteinase),SVMPi (Snake venom metalloproteinase inhibitor),Disintegrin,Short disintegrin,Mediumdisintegrin,Largedisintegrin,Long disintegrin,Dimeric disintegrin,CTL (C-typelectin),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),?-NTx (?-NeuroToxin),NTx (NeuroToxin),SNTx (Short chain NeuroToxin),LNTx (Long chain NeuroToxin),WNTx (Weak Neurotoxin),PLB (Phospholipase B),PLA2 (Phospholipases A2),Acidic PLA2 (Phospholipases A2),Basic PLA2 (Phospholipases A2),K49-PLA2,D49-PLA2,Cro-toxin,SP (Serine roteinase),SPi (Serine Proteinase inhibitor),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),CVF (Cobra Venom Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Sarafo-toxin,Trimucro-toxin,Waprin,Navaprin,Ohanin,Oscutarin C,Cystatin,Crotamine (aka: ?-defensin/small basic myotoxic peptides),Vespryn,HYA (HYAluronidase),KTC (proKineTiCin),NGF (Nerve Growth Factor),ILGF-1 (insulin-like growth factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),EP (EndoPeptidase),EN (EndoNuclease),Trypsinogen,QC (Glutaminyl Cyclase),CCM (Complement Control Module),LIPA (Lysosomal Lipase A),TRF (TRansFerrin),CTT (Cytidyltransferase),ALB (ALBumins),HBG (HemoGloBins),pG peptides (polyGly peptides),pGpH peptides (Gly-His-rich peptide),beta-BTx (beta-bungarotoxin),Gal (galactose-binding lectin),Selectins,FMO (flavin monoamine oxidases),GP (glutathione peroxidase),CELF (Type-B carboxylesterases/lipases),Atragin,AMT (AminoTransferase),Aspartic protease,TBP (Toxin biosynthesis proteins),BP (Blood Proteins),KNL (Kinesin-like protein),NTP (Neurotrophin),Fibrinogenases,AP (AminoPeptidase),ChE (Cholinesterase),OLP (Ohanin like proteins),CRVP (Cysteine Rich Venom Proteine),NMG (Neuronal membrane glycoprotein),RIB (ribosomal protein),ECTONT (ecto-59-nucleotidase),Actin,Unknownpeptides,Non-toxin,Unknown/Undetermined,Sum
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/24211403"" style=""font-style: italic"">Agkistrodon piscivorus leucostoma <span>(Texas)",Texas,Agkistrodon piscivorus leucostoma,1,Western Cottonmouth,Viperidae,United States of America,North America,Agkistrodon,170.00,26.10,0.00,0.00,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.80,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.20,0.00,0.00,0.00,0.00,0.00,10.10,0.00,0.00,0.00,0.00,2.70,0.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/24211403"" style=""font-style: italic"">Agkistrodon piscivorus piscivorus<span> (USA)",USA,Agkistrodon piscivorus piscivorus,1,Eastern Cottonmouth,Viperidae,United States of America,North America,Agkistrodon,170.00,33.10,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,3.20,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.60,0.00,0.00,0.00,0.00,0.00,13.20,0.00,0.00,0.00,0.00,0.80,0.00,5.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26169672"" style=""font-style: italic;"">Aipysurus laevis <span>(Australia)",Australia,Aipysurus laevis,1,"Olive-brown Sea Snake , Golden Sea Snake , Olive Sea Snake",Elapidae,"Australia, Indonesia, Papua New Guinea",Seasnakes,Aipysurus,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,25.30,0.00,0.00,0.00,0.00,0.00,0.00,71.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18161938"" style=""font-style: italic"">Atropoides nummifer mexicanus <span>(Costa Rica)",Costa rica,Atropoides nummifer mexicanus ,1,"Jumping Pit Viper , Mexican Jumping Pitviper",Viperidae,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",Central America,Atropoides,60.00,0.00,14.74,0.00,3.39,0.00,0.00,0.00,2.49,0.00,0.00,0.00,1.29,0.10,1.89,0.10,0.00,0.00,0.00,0.00,0.00,0.00,36.35,0.00,0.00,0.00,0.00,0.00,21.91,0.00,0.00,0.00,0.00,9.06,0.00,8.57,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.99
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18161938""  style=""font-style: italic"">Atropoides picadoi <span>(Costa Rica)",Costa rica,Atropoides picadoi,1,"Picado's Pit Viper , Picado's Jumping Pitviper",Viperidae,"Costa Rica, Panama",Central America,Atropoides,70.00,0.00,9.67,0.00,56.53,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.79,0.10,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.47,0.00,0.00,0.00,0.00,0.00,13.46,0.00,0.00,0.00,0.00,2.19,0.00,1.79,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.99
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18307759"" style=""font-style: italic"">Austrelaps labialis<span> (Australia)",Australia,Austrelaps labialis,1,"Adelaide Hills Copperhead , Pygmy Copperhead",Elapidae,Australia,Australia,Austrelaps,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
" <span target=""_blank""  href=""https://www.ncbi.nlm.nih.gov/pubmed/16786436"" style=""font-style: italic"">Bitis arietans <span>(Ghana)",Ghana,Bitis arietans,1,"Puff Adder , Common Puff Adder , African Puff Adder ( B. a. arietans ) , Somali Puff Adder ( B. a. somalica )",Viperidae,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Democratic Republic of Congo, Cote d'Ivoire ( Ivory Coast ), Djibouti, Eritrea, Ethiopia, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Malawi, Mali, Morocco, Mozambique, Namibia, Niger, Nigeria, Oman, Rwanda, Saudi Arabia, Senegal, Sierra Leone, South Africa, Sudan, Swaziland, Tanzania, Togo, Uganda, Yemen, Zambia, Zimbabwe, West Sahara, Somalia",Middle East + North Africa + Sub-Saharan Africa,Bitis,750.00,38.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.78,0.00,13.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,0.00,19.48,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,100.01
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/17559253"" style=""font-style: italic"">Bitis caudalis<span> (Origin unknown)",Origin unknown,Bitis caudalis,1,"Horned Adder , Sidewinding Adder , Common Single-horned Adder , Horned Puff Adder",Viperidae,"Angola, Botswana, Namibia, South Africa, Zimbabwe",Sub-Saharan Africa,Bitis,85.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,4.90,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.80,0.00,0.00,0.00,0.00,0.00,15.10,0.00,3.20,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,100.00
" <span target=""_blank""  href=""https://www.ncbi.nlm.nih.gov/pubmed/17203976"" style=""font-style: italic"">Bitis gabonica<span> (Origin unknown)",Origin unknown,Bitis gabonica,1,"Gaboon Adder , Gaboon Viper ( Eastern Race ) , Forest Puff Adder, Butterfly Adder , Swampjack",Viperidae,"Angola, Benin, Burundi, Cameroon, Central African Republic, Democratic Republic of Congo, Republic of Congo, Equatorial Guinea, Gabon, Malawi, Mozambique, Nigeria, Rwanda, South Africa, Sudan, Tanzania, Togo, Uganda, Zambia, Zimbabwe, Cabinda",Sub-Saharan Africa,Bitis,"2,400.00",22.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,14.30,0.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,0.00,0.00,0.00,0.00,26.40,0.00,3.00,0.00,0.00,1.30,0.00,2.80,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/17559253"" style=""font-style: italic"">Bitis gabonica rhinoceros <span>(Origin unknown)",Origin unknown,Bitis gabonica rhinoceros,1,"West African Gaboon Viper , Gaboon Adder , Gaboon Viper ( Western Race ) , West African Gaboon Viper.",Viperidae,"Cote d'Ivoire ( Ivory Coast ), Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Senegal, Sierra Leone",Sub-Saharan Africa,Bitis,848.00,30.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,14.10,0.60,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,0.00,0.00,0.00,0.00,0.00,23.90,0.00,7.50,0.00,0.00,2.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/17559253"" style=""font-style: italic"">Bitis nasicornis <span>(Origin unknown)",Origin unknown,Bitis nasicornis,1,"Rhinoceros-horned Viper , Nose-horned Viper , River Jack , Rhinoceros Viper",Viperidae,"Benin, Burundi, Cameroon, Central African Republic, Democratic Republic of Congo, Republic of Congo, Cote d'Ivoire ( Ivory Coast ), Equatorial Guinea, Gabon, Ghana, Guinea, Kenya, Liberia, Nigeria, Rwanda, Sierra Leone, Sudan, Tanzania, Togo, Uganda, Cabinda",Sub-Saharan Africa,Bitis,353.00,40.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,4.20,0.10,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.08,0.00,0.00,0.00,0.00,0.00,21.88,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,100.02
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27777178"" style=""font-style: italic"">Bothriechis aurifer<span> (Guatemala)",Guatemala,Bothriechis aurifer,1,Yellow-blotched Palm Pit Viper,Viperidae,"Guatemala, Mexico",Central America,Bothriechis,0.00,0.00,12.49,2.10,20.48,3.20,1.20,0.00,0.00,0.00,0.00,0.00,16.38,0.20,10.69,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,7.29,0.00,0.00,0.00,0.00,9.49,0.00,13.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27777178"" style=""font-style: italic"">Bothriechis bicolor<span> (Guatemala)",Guatemala,Bothriechis bicolor,1,Guatemala Palm Pit Viper,Viperidae,"Guatemala, Honduras, Mexico",Central America,Bothriechis,0.00,0.00,1.84,3.20,3.20,4.46,0.78,0.00,0.00,0.00,0.00,0.00,4.27,6.60,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.10,34.14,0.00,0.00,0.00,0.00,0.00,18.53,0.00,0.00,0.00,0.00,10.48,0.00,3.49,0.00,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,2.62,0.00,1.94,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18444672"" style=""font-style: italic"">Bothriechis lateralis <span>(Costa Rica)",Costa Rica,Bothriechis lateralis,1,Side-striped Palm Pit Viper,Viperidae,"Costa Rica, Panama",Central America,Bothriechis,20.00,54.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,6.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68,0.00,0.00,0.00,0.00,0.00,11.28,0.00,0.00,0.00,0.00,6.09,0.00,11.08,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27777178"" style=""font-style: italic"">Bothriechis lateralis<span> (Costa Rica)",Costa Rica,Bothriechis lateralis,2,Side-striped Palm Pit Viper,Viperidae,"Costa Rica, Panama",Central America,Bothriechis,20.00,0.00,2.18,0.00,16.29,6.16,3.60,0.00,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.49,0.00,0.00,0.00,0.00,0.00,21.69,0.00,0.00,0.00,0.00,6.44,0.00,10.32,0.00,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,100
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27777178"" style=""font-style: italic"">Bothriechis marchi <span>(Honduras)",Honduras,Bothriechis marchi,1,"March's Palm Pit Viper , Honduran Palm Pit Viper",Viperidae,Honduras,Central America,Bothriechis,0.00,0.00,1.10,0.00,34.00,8.50,1.70,0.00,0.00,0.00,0.00,0.00,4.20,4.80,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,0.00,0.00,0.00,0.00,0.00,10.10,0.00,0.00,0.00,0.00,1.10,0.00,10.60,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,100
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/20590130"" style=""font-style: italic"">Bothriechis nigroviridis<span> (Costa Rica)",Costa Rica,Bothriechis nigroviridis,1,Black-speckled Palm Pit Viper,Viperidae,"Costa Rica, Panama",Central America,Bothriechis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.30,0.00,0.00,0.00,0.00,0.00,18.40,0.00,0.00,0.00,0.00,0.50,0.00,26.90,10.10,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/18444672"" style=""font-style: italic"">Bothriechis schlegelii<span> (Costa Rica)",Costa Rica,Bothriechis schlegelii,1,"Eyelash Palm Pit Viper , Blotched Palm Pit Viper",Viperidae,"Belize, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Panama, Venezuela",Central America + South America,Bothriechis,20.00,17.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.80,0.00,0.00,0.00,0.00,0.00,5.80,0.00,0.00,8.30,0.00,8.90,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27777178"" style=""font-style: italic"">Bothriechis schlegelii <span>(Costa Rica)",Costa Rica,Bothriechis schlegelii,2,"Eyelash Palm Pit Viper , Blotched Palm Pit Viper",Viperidae,"Belize, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Panama, Venezuela",Central America + South America,Bothriechis,20.00,0.00,0.00,0.00,8.10,6.90,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.80,17.30,0.00,0.00,0.00,0.00,0.00,20.60,0.00,6.30,0.00,0.00,3.40,0.00,15.90,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.8,100.00
" <span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/22333435"" style=""font-style: italic"">Bothriechis supraciliaris <span>(Costa Rica)",Costa Rica,Bothriechis supraciliaris,1,Blotched Palm Pit Viper,Viperidae,Costa Rica,Central America,Bothriechis,0.00,6.80,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,15.20,0.00,0.00,9.00,0.00,5.90,0.00,21.90,0.00,1.40,0.00,13.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27777178"" style=""font-style: italic"">Bothriechis thalassinus<span> (Guatemala)",Guatemala,Bothriechis thalassinus,1,Merendon Palm Pit Viper,Viperidae,"Guatemala, Honduras",South America,Bothriechis,0.00,0.00,13.30,1.50,24.80,9.90,1.20,0.00,0.00,0.00,0.00,0.00,11.50,0.80,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,12.10,0.00,0.00,0.00,0.00,4.30,0.00,10.60,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,100
